age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
30;blue-collar;single;secondary;no;183;yes;no;cellular;18;jul;610;1;-1;0;unknown;yes
44;technician;married;secondary;no;326;yes;no;cellular;8;aug;108;2;-1;0;unknown;no
33;blue-collar;married;secondary;no;1722;yes;no;cellular;20;apr;7;7;-1;0;unknown;no
27;services;single;tertiary;no;536;yes;no;cellular;11;may;105;3;-1;0;unknown;no
55;management;married;tertiary;no;979;no;yes;cellular;8;jul;123;1;-1;0;unknown;no
55;unemployed;married;tertiary;no;457;yes;no;unknown;5;jun;61;3;-1;0;unknown;no
40;management;married;tertiary;no;351;yes;no;cellular;29;jan;338;1;254;3;failure;no
50;management;married;tertiary;no;101;yes;no;cellular;6;apr;43;2;326;1;failure;no
43;services;married;secondary;no;-1;yes;no;cellular;15;may;51;1;311;2;failure;no
32;entrepreneur;single;primary;yes;-849;yes;yes;cellular;4;feb;204;1;-1;0;unknown;no
48;blue-collar;married;secondary;no;3;no;yes;cellular;19;aug;289;2;-1;0;unknown;no
33;blue-collar;married;primary;no;149;yes;no;cellular;14;may;21;2;-1;0;unknown;no
26;admin.;single;secondary;no;274;no;no;cellular;1;apr;351;3;-1;0;unknown;yes
51;admin.;married;secondary;no;884;no;no;unknown;19;jun;50;1;-1;0;unknown;no
35;services;married;tertiary;no;1359;no;no;unknown;17;jun;585;2;-1;0;unknown;no
36;technician;single;secondary;no;12264;no;no;cellular;11;oct;285;1;182;2;success;yes
35;management;single;unknown;no;137;no;no;unknown;28;may;667;3;-1;0;unknown;no
30;blue-collar;divorced;primary;no;53;yes;no;cellular;18;may;116;1;-1;0;unknown;no
29;blue-collar;married;secondary;no;2776;yes;no;unknown;27;may;233;1;-1;0;unknown;no
30;management;single;tertiary;no;2;no;no;cellular;23;mar;269;1;-1;0;unknown;no
35;blue-collar;married;secondary;no;243;yes;no;cellular;20;apr;41;3;-1;0;unknown;no
71;retired;married;tertiary;no;3895;no;no;cellular;7;aug;116;1;-1;0;unknown;no
33;services;divorced;secondary;no;437;yes;no;cellular;15;jul;184;2;-1;0;unknown;no
35;unemployed;married;tertiary;no;-94;yes;no;cellular;18;jul;354;1;-1;0;unknown;no
29;blue-collar;married;secondary;no;195;yes;no;cellular;11;may;333;1;-1;0;unknown;no
45;blue-collar;married;secondary;no;751;no;no;cellular;11;aug;176;4;-1;0;unknown;no
31;admin.;single;secondary;no;554;yes;no;cellular;11;feb;80;1;6;1;failure;no
58;unemployed;divorced;secondary;no;0;no;no;unknown;23;jun;598;2;-1;0;unknown;no
54;blue-collar;divorced;unknown;no;-473;yes;no;cellular;14;may;239;1;351;2;failure;no
31;blue-collar;married;unknown;no;-357;yes;no;unknown;23;may;245;4;-1;0;unknown;no
56;blue-collar;married;primary;no;1214;no;yes;cellular;7;aug;105;1;-1;0;unknown;no
37;services;married;secondary;no;4954;yes;no;cellular;14;may;290;4;356;3;other;no
28;technician;single;secondary;no;440;no;yes;cellular;5;feb;177;2;-1;0;unknown;no
32;admin.;single;tertiary;no;4041;no;no;cellular;7;aug;325;1;99;2;success;no
26;technician;single;secondary;no;2087;no;no;unknown;8;may;151;1;-1;0;unknown;no
30;management;single;tertiary;no;317;no;no;cellular;12;aug;134;8;-1;0;unknown;no
28;management;single;tertiary;no;6321;yes;no;unknown;2;jun;204;5;-1;0;unknown;no
78;retired;married;primary;no;240;no;no;cellular;20;apr;325;1;-1;0;unknown;yes
40;management;married;tertiary;no;87;yes;yes;cellular;21;nov;114;1;-1;0;unknown;no
52;unknown;married;unknown;no;5361;no;no;cellular;5;aug;607;3;-1;0;unknown;yes
36;technician;single;tertiary;no;197;no;no;cellular;30;apr;260;1;-1;0;unknown;yes
31;management;married;tertiary;no;0;yes;yes;cellular;28;jul;664;8;-1;0;unknown;yes
29;admin.;single;secondary;no;854;no;no;cellular;20;jul;175;5;95;1;other;no
56;entrepreneur;married;tertiary;no;8741;yes;no;unknown;20;may;318;3;-1;0;unknown;no
31;blue-collar;married;primary;no;951;yes;no;cellular;13;may;206;1;-1;0;unknown;no
29;blue-collar;married;secondary;no;1492;yes;no;unknown;2;jun;267;10;-1;0;unknown;no
56;blue-collar;married;secondary;no;276;no;no;cellular;5;aug;269;1;-1;0;unknown;no
46;technician;single;tertiary;no;3133;no;no;cellular;6;aug;411;3;-1;0;unknown;no
44;admin.;divorced;secondary;no;445;yes;no;cellular;17;apr;142;1;-1;0;unknown;no
37;management;married;secondary;no;5447;yes;yes;cellular;17;nov;1789;1;-1;0;unknown;yes
33;technician;married;secondary;no;303;yes;no;cellular;3;feb;355;1;301;5;success;yes
33;entrepreneur;married;tertiary;no;0;yes;yes;cellular;18;nov;114;1;-1;0;unknown;no
41;technician;single;tertiary;no;-89;yes;no;cellular;3;feb;195;4;251;4;failure;no
32;management;single;tertiary;no;2551;yes;no;cellular;21;jul;638;3;-1;0;unknown;yes
48;blue-collar;married;primary;no;476;no;no;cellular;11;aug;856;3;-1;0;unknown;yes
60;technician;single;tertiary;no;2934;no;no;cellular;8;aug;233;2;-1;0;unknown;no
50;technician;married;secondary;no;-584;no;no;cellular;20;aug;75;2;-1;0;unknown;no
33;admin.;married;secondary;no;393;yes;no;unknown;28;may;383;1;-1;0;unknown;no
31;management;married;tertiary;no;-513;no;yes;cellular;7;jul;124;1;-1;0;unknown;no
35;technician;single;tertiary;no;0;no;no;cellular;11;aug;176;3;-1;0;unknown;no
50;blue-collar;married;secondary;no;-731;yes;no;cellular;15;jul;401;4;-1;0;unknown;no
39;technician;married;primary;no;644;yes;no;unknown;15;may;110;1;-1;0;unknown;no
51;blue-collar;married;secondary;no;50;yes;yes;unknown;6;may;121;1;-1;0;unknown;no
32;services;single;secondary;no;459;yes;no;unknown;8;may;202;2;-1;0;unknown;no
44;technician;married;secondary;no;1127;yes;no;cellular;19;aug;82;8;-1;0;unknown;no
32;technician;married;tertiary;no;514;yes;no;unknown;20;may;414;2;-1;0;unknown;no
29;management;single;tertiary;no;475;no;no;cellular;29;jan;346;2;-1;0;unknown;no
38;technician;single;secondary;no;1788;no;no;cellular;8;aug;391;2;-1;0;unknown;no
32;student;single;secondary;no;0;no;no;cellular;21;nov;206;1;-1;0;unknown;no
44;housemaid;married;tertiary;no;460;no;no;unknown;17;jun;491;1;-1;0;unknown;no
41;management;married;secondary;no;1273;no;no;unknown;20;jun;73;3;-1;0;unknown;no
59;management;married;tertiary;no;2764;no;no;cellular;18;feb;459;1;56;3;failure;no
32;management;married;tertiary;no;578;no;yes;cellular;22;jul;29;2;-1;0;unknown;no
31;blue-collar;divorced;secondary;no;916;yes;yes;cellular;11;jul;172;2;-1;0;unknown;no
34;blue-collar;married;unknown;no;568;yes;no;cellular;25;jul;256;1;-1;0;unknown;no
52;housemaid;married;secondary;no;234;no;no;cellular;20;nov;208;1;-1;0;unknown;no
53;entrepreneur;married;tertiary;no;71;no;yes;cellular;29;jan;86;1;-1;0;unknown;no
37;blue-collar;married;secondary;no;1818;yes;no;unknown;21;may;273;1;-1;0;unknown;no
42;management;married;tertiary;no;783;yes;no;cellular;19;nov;77;2;128;3;failure;no
56;technician;married;secondary;no;589;yes;no;unknown;23;oct;518;1;147;2;success;yes
32;technician;single;secondary;no;535;yes;yes;unknown;27;may;156;2;-1;0;unknown;no
29;admin.;single;secondary;no;460;yes;no;cellular;18;may;191;2;357;6;success;no
30;blue-collar;married;secondary;no;3653;yes;yes;unknown;6;jun;167;4;-1;0;unknown;no
36;technician;married;tertiary;no;629;yes;yes;cellular;29;dec;109;1;246;1;failure;no
52;blue-collar;married;primary;no;779;yes;no;unknown;16;may;30;3;-1;0;unknown;no
44;services;married;secondary;no;522;no;yes;unknown;20;jun;911;1;-1;0;unknown;yes
35;blue-collar;single;secondary;no;11671;no;no;unknown;6;jun;190;1;-1;0;unknown;no
31;technician;married;secondary;no;-302;no;no;cellular;13;aug;195;2;-1;0;unknown;no
43;technician;divorced;tertiary;no;101;no;no;cellular;19;aug;173;3;-1;0;unknown;no
72;retired;married;primary;no;1612;no;no;cellular;7;aug;530;2;-1;0;unknown;yes
34;blue-collar;married;primary;no;267;yes;no;unknown;7;may;362;1;-1;0;unknown;no
51;blue-collar;married;secondary;no;1374;yes;no;unknown;30;may;378;1;-1;0;unknown;no
35;management;married;tertiary;no;15298;no;no;cellular;7;aug;642;3;-1;0;unknown;no
33;management;single;tertiary;no;224;no;no;cellular;8;mar;241;2;-1;0;unknown;yes
34;entrepreneur;married;tertiary;no;7962;yes;no;cellular;20;nov;96;2;-1;0;unknown;no
40;management;married;tertiary;no;66;no;no;cellular;13;aug;737;4;-1;0;unknown;yes
28;services;single;primary;no;198;no;no;cellular;4;feb;976;2;-1;0;unknown;yes
39;management;married;primary;no;3760;no;yes;cellular;17;jul;262;1;-1;0;unknown;no
50;technician;married;secondary;no;1518;no;yes;cellular;31;jul;321;2;-1;0;unknown;no
46;technician;married;secondary;no;1427;yes;no;unknown;14;may;32;3;-1;0;unknown;no
23;services;single;tertiary;no;363;yes;no;unknown;30;may;16;18;-1;0;unknown;no
34;technician;single;secondary;no;1866;no;no;cellular;8;may;134;3;185;1;failure;no
55;management;single;tertiary;no;0;no;no;cellular;30;apr;156;3;-1;0;unknown;no
57;management;married;primary;no;2911;yes;yes;telephone;6;may;276;2;-1;0;unknown;no
37;technician;single;secondary;no;363;yes;no;cellular;21;nov;39;4;182;3;failure;no
36;management;married;tertiary;no;2326;yes;no;cellular;20;nov;7;5;-1;0;unknown;no
54;management;married;primary;no;113;no;no;unknown;12;may;76;3;-1;0;unknown;no
48;entrepreneur;married;tertiary;no;461;no;yes;cellular;17;jul;284;1;-1;0;unknown;no
27;services;single;secondary;no;1636;yes;no;unknown;28;may;282;2;-1;0;unknown;no
30;management;single;tertiary;no;424;no;no;cellular;16;apr;298;4;-1;0;unknown;yes
51;retired;married;primary;no;752;yes;no;unknown;30;may;214;2;-1;0;unknown;no
30;entrepreneur;single;primary;no;2816;yes;no;cellular;21;nov;71;1;-1;0;unknown;no
55;technician;married;tertiary;no;11;no;no;cellular;21;aug;588;2;-1;0;unknown;no
59;management;married;tertiary;no;0;yes;yes;cellular;20;apr;392;1;-1;0;unknown;yes
59;retired;divorced;secondary;no;479;no;no;cellular;4;feb;37;5;-1;0;unknown;no
